Unique_Name,Mass,Class,Family,Guild,Include
Tachyphonus cristatus,19,AVES,THRAUPIDAE,Omnivore,0
Tamandua mexicana,4210,MAMMALIA,MYRMECOPHAGIDAE,Insectivore,1
Tamandua tetradactyla,5515,MAMMALIA,MYRMECOPHAGIDAE,Insectivore,1
Tapirus bairdii,225000,MAMMALIA,TAPIRIDAE,Herbivore,1
Tapirus indicus,296250,MAMMALIA,TAPIRIDAE,Herbivore,1
Tapirus terrestris,207501,MAMMALIA,TAPIRIDAE,Herbivore,1
Tayassu pecari,32234,MAMMALIA,TAYASSUIDAE,Omnivore,1
Tenrec ecaudatus,868,MAMMALIA,TENRECIDAE,Omnivore,1
Threnetes niger,5.6,AVES,TROCHILIDAE,NA,0
Thryonomys gregorianus,2707,MAMMALIA,THRYONOMYIDAE,Herbivore,1
Thryonomys swinderianus,4060,MAMMALIA,THRYONOMYIDAE,Herbivore,1
Tinamus guttatus,689,AVES,TINAMIDAE,Omnivore,1
Tinamus major,1100,AVES,TINAMIDAE,Omnivore,1
Tinamus tao,1674,AVES,TINAMIDAE,Omnivore,1
Trachypithecus obscurus,6420,MAMMALIA,CERCOPITHECIDAE,Herbivore,0
Tragelaphus eurycerus,329003,MAMMALIA,BOVIDAE,Herbivore,1
Tragelaphus scriptus,43250,MAMMALIA,BOVIDAE,Herbivore,1
Tragelaphus spekii,77999,MAMMALIA,BOVIDAE,Herbivore,1
Tragulus javanicus,2250,MAMMALIA,TRAGULIDAE,Herbivore,1
Tragulus kanchil,2000,MAMMALIA,TRAGULIDAE,Herbivore,1
Tragulus napu,4000,MAMMALIA,TRAGULIDAE,Herbivore,1
Tremarctos ornatus,140001,MAMMALIA,URSIDAE,Omnivore,1
Tupaia belangeri,200,MAMMALIA,TUPAIIDAE,Omnivore,0
Tupaia glis,159,MAMMALIA,TUPAIIDAE,Omnivore,1
Tupaia tana,198,MAMMALIA,TUPAIIDAE,Insectivore,1
Turdus albicollis,59,AVES,TURDIDAE,Insectivore,0
Turtur afer,65,AVES,COLUMBIDAE,Omnivore,0
Turtur brehmeri,113,AVES,COLUMBIDAE,Omnivore,1
Turtur tympanistria,72,AVES,COLUMBIDAE,Omnivore,0
Viverra zibetha,9000,MAMMALIA,VIVERRIDAE,Omnivore,1
Xenoperdix udzungwensis,225,AVES,PHASIANIDAE,Omnivore,1
Zoothera gurneyi,45,AVES,TURDIDAE,Insectivore,0
Accipiter tachiro,291.5,AVES,ACCIPITRIDAE,Carnivore,0
Arborophila chloropus,270,AVES,PHASIANIDAE,NA,1
Ateles chamek,7054,MAMMALIA,ATELIDAE,Herbivore,0
Callosciurus prevostii,400,MAMMALIA,SCIURIDAE,Omnivore,0
Canis latrans,11990,MAMMALIA,CANIDAE,Carnivore,1
Crossarchus obscurus,1395,MAMMALIA,HERPESTIDAE,Omnivore,1
Crypturellus bartletti,241,AVES,TINAMIDAE,NA,1
Desmodus rotundus,33,MAMMALIA,PHYLLOSTOMIDAE,Carnivore,0
Dichrozona cincta,16,AVES,THAMNOPHILIDAE,NA,0
