"Mass_c","LitterSize_c","GR_Area_c","ActivityCycle_c","Guild_c","m.Class[[i]]","m.Family[[i]]"
"Dasyprocta leporina1",3020,1.4,5296263.55,"3","2","MAMMALIA","DASYPROCTIDAE"
"Dasyprocta punctata2",2675,1.25,2516292.24,"3","2","MAMMALIA","DASYPROCTIDAE"
"Dasypus novemcinctus3",4204,3.96,17080218.63,"2","2","MAMMALIA","DASYPODIDAE"
"Didelphis marsupialis3",1091,7.09,7324303.06,"1","4","MAMMALIA","DIDELPHIDAE"
"Eira barbara3",3910,2.14,13411787.9,"2","4","MAMMALIA","MUSTELIDAE"
"Geotrygon montana3",280,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Leopardus pardalis3",11900,1.66,16040024.42,"2","1","MAMMALIA","FELIDAE"
"Leopardus wiedii3",3250,1.5,12404067.35,"2","1","MAMMALIA","FELIDAE"
"Leptotila verreauxi1",155,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Mazama americana2",22800,1.22,12346897.93,"2","2","MAMMALIA","CERVIDAE"
"Mazama gouazoubira1",8000,NA,NA,NA,"2","MAMMALIA","CERVIDAE"
"Metachirus nudicaudatus2",375,3.87,8833791.02,"1","4","MAMMALIA","DIDELPHIDAE"
"Myoprocta acouchy",600,1.97,1230426.69,"3","2","MAMMALIA","DASYPROCTIDAE"
"Myrmecophaga tridactyla2",22333,1,12447513.64,"2","3","MAMMALIA","MYRMECOPHAGIDAE"
"Nasua nasua3",3794,3.69,10694990.22,"3","4","MAMMALIA","PROCYONIDAE"
"Odontophorus gujanensis",280,NA,NA,NA,"4","AVES","ODONTOPHORIDAE"
"Panthera onca2",1e+05,1.96,10500825.25,"2","1","MAMMALIA","FELIDAE"
"Pecari tajacu3",21267,1.56,15771441.38,"2","4","MAMMALIA","TAYASSUIDAE"
"Philander opossum2",421,4.75,NA,"1","4","MAMMALIA","DIDELPHIDAE"
"Proechimys steerei",250,NA,1303980.52,"1","4","MAMMALIA","ECHIMYIDAE"
"Psophia crepitans",1300,NA,NA,NA,"4","AVES","PSOPHIIDAE"
"Puma concolor2",51600,2.76,22350859.07,"2","1","MAMMALIA","FELIDAE"
"Puma yagouaroundi3",8400,2.5,15093388.56,"2","1","MAMMALIA","FELIDAE"
"Tamandua tetradactyla2",5515,1,12531429.9,"2","3","MAMMALIA","MYRMECOPHAGIDAE"
"Tapirus terrestris2",207501,1,13663839.27,"2","2","MAMMALIA","TAPIRIDAE"
"Tayassu pecari2",32234,2,13839052.97,"2","4","MAMMALIA","TAYASSUIDAE"
"Tinamus major3",1100,NA,NA,NA,"4","AVES","TINAMIDAE"
"Agelastes niger1",1150,NA,NA,NA,"4","AVES","NUMIDIDAE"
"Atherurus africanus2",1934,1.5,5140711.56,"1","4","MAMMALIA","HYSTRICIDAE"
"Atilax paludinosus1",3300,2,14296320.45,"2","1","MAMMALIA","HERPESTIDAE"
"Bdeogale nigripes1",2500,1,3117248.8,"1","1","MAMMALIA","HERPESTIDAE"
"Caracal aurata1",16000,2.25,4948244.43,"2","1","MAMMALIA","FELIDAE"
"Cephalophus callipygus",18250,NA,788397.64,"3","2","MAMMALIA","BOVIDAE"
"Cephalophus dorsalis",20000,1,2874503.05,"1","4","MAMMALIA","BOVIDAE"
"Cephalophus leucogaster",12700,1,1396673.01,"3","2","MAMMALIA","BOVIDAE"
"Cephalophus nigrifrons1",13900,NA,2766201.07,"2","2","MAMMALIA","BOVIDAE"
"Cephalophus silvicultor2",72500,1,6018051.89,"2","2","MAMMALIA","BOVIDAE"
"Cercocebus agilis",8000,NA,1068616.42,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Cercopithecus nictitans1",5410,1,2185668.95,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Civettictis civetta1",12000,2.31,14207678.6,"1","4","MAMMALIA","VIVERRIDAE"
"Cricetomys emini2",1300,0.97,2945905.07,"1","4","MAMMALIA","NESOMYIDAE"
"Cricetomys gambianus1",1285,3.11,NA,NA,"4","MAMMALIA","NESOMYIDAE"
"Francolinus africanus",426,NA,NA,NA,"2","AVES","PHASIANIDAE"
"Francolinus lathami1",269,NA,NA,NA,"2","AVES","PHASIANIDAE"
"Funisciurus lemniscatus",250,1.8,1103962.08,"3","2","MAMMALIA","SCIURIDAE"
"Funisciurus pyrropus1",3200,1.26,3542071.4,"3","2","MAMMALIA","SCIURIDAE"
"Genetta servalina2",1055,1.5,3667035.54,"1","1","MAMMALIA","VIVERRIDAE"
"Genetta tigrina",2225,2.76,587510.9,"1","1","MAMMALIA","VIVERRIDAE"
"Gorilla gorilla",180000,1.05,625702.71,"3","2","MAMMALIA","HOMINIDAE"
"Guttera plumifera",1200,NA,NA,NA,"4","AVES","NUMIDIDAE"
"Herpestes naso1",3000,NA,2499072.82,"1","4","MAMMALIA","HERPESTIDAE"
"Hyemoschus aquaticus1",188500,1.22,2571576.3,"1","2","MAMMALIA","TRAGULIDAE"
"Hylochoerus meinertzhageni",14936,4,2227871.01,"2","4","MAMMALIA","SUIDAE"
"Loxodonta africana2",3940034,0.84,4233287.94,"3","2","MAMMALIA","ELEPHANTIDAE"
"Mellivora capensis1",9000,2.35,27823522.11,"2","1","MAMMALIA","MUSTELIDAE"
"Nandinia binotata2",2000,1.84,5977079.52,"1","4","MAMMALIA","NANDINIIDAE"
"Orycteropus afer",52350,1.1,18035652.33,"1","3","MAMMALIA","ORYCTEROPODIDAE"
"Pan troglodytes1",45000,1.05,1898947.6,"3","4","MAMMALIA","HOMINIDAE"
"Panthera pardus",55615,2.14,29348601.36,"2","1","MAMMALIA","FELIDAE"
"Phataginus tricuspis2",1800,1,5968402.76,NA,"3","MAMMALIA","MANIDAE"
"Philantomba monticola1",4600,0.98,6552145.69,"3","2","MAMMALIA","BOVIDAE"
"Potamochoerus porcus1",70000,3,5033216.84,"2","4","MAMMALIA","SUIDAE"
"Protoxerus stangeri",592,1.47,3688592.61,"3","2","MAMMALIA","SCIURIDAE"
"Smutsia gigantea",12500,NA,3277538.77,NA,"3","MAMMALIA","MANIDAE"
"Syncerus caffer",580003,1.08,11706834.65,"2","2","MAMMALIA","BOVIDAE"
"Thryonomys swinderianus1",4060,3.88,13000746.74,"1","2","MAMMALIA","THRYONOMYIDAE"
"Tragelaphus eurycerus",329003,1,2564432.61,"2","2","MAMMALIA","BOVIDAE"
"Tragelaphus spekii1",77999,1,5256068.76,"2","2","MAMMALIA","BOVIDAE"
"Turtur brehmeri1",113,NA,NA,NA,"4","AVES","COLUMBIDAE"
"Arctictis binturong1",13000,2.5,2913838.88,"1","1","MAMMALIA","VIVERRIDAE"
"Argusianus argus1",2380,NA,NA,NA,"4","AVES","PHASIANIDAE"
"Atherurus macrourus",2000,1.5,2597040.51,"1","4","MAMMALIA","HYSTRICIDAE"
"Callosciurus erythraeus",280,1.94,2354368.13,NA,"2","MAMMALIA","SCIURIDAE"
"Capricornis sumatraensis",140000,1.22,237174.87,NA,"2","MAMMALIA","BOVIDAE"
"Chalcophaps indica1",107,NA,NA,NA,"2","AVES","COLUMBIDAE"
"Cuon alpinus1",12760,4.3,10546280.1,"2","1","MAMMALIA","CANIDAE"
"Echinosorex gymnura1",957,1.9,1374526.86,"2","3","MAMMALIA","ERINACEIDAE"
"Gallus gallus1",914,NA,NA,NA,"4","AVES","PHASIANIDAE"
"Helarctos malayanus1",47000,1.1,2525372.13,"1","4","MAMMALIA","URSIDAE"
"Hemigalus derbyanus1",2000,1.73,1431386.4,"1","1","MAMMALIA","VIVERRIDAE"
"Herpestes brachyurus1",2000,3.49,1313618.8,"1","1","MAMMALIA","HERPESTIDAE"
"Hystrix brachyura1",8000,1.41,5702383.4,"1","4","MAMMALIA","HYSTRICIDAE"
"Lariscus insignis1",200,NA,1341081.13,NA,"4","MAMMALIA","SCIURIDAE"
"Leopoldamys sabanus",391,3.33,2396697.79,NA,"3","MAMMALIA","MURIDAE"
"Macaca fascicularis1",4750,1,2197587.41,"3","4","MAMMALIA","CERCOPITHECIDAE"
"Macaca nemestrina1",6500,1.01,1033482.91,"3","4","MAMMALIA","CERCOPITHECIDAE"
